[2017-03-20 17:14:07.177320] Iter=46 - Light Eval - n=20; mean=201.750000; std=115.442797; min=15.000000; max=560.000000
[2017-03-20 17:15:03.604297] Iter=47 - Light Eval - n=20; mean=261.000000; std=128.489197; min=80.000000; max=510.000000
[2017-03-20 17:15:59.907807] Iter=48 - Light Eval - n=20; mean=216.500000; std=103.898989; min=10.000000; max=410.000000
[2017-03-20 17:16:57.485741] Iter=49 - Light Eval - n=20; mean=209.500000; std=92.151192; min=120.000000; max=480.000000
[2017-03-20 17:17:56.028570] Iter=50 - Light Eval - n=20; mean=172.500000; std=90.240906; min=40.000000; max=365.000000
[2017-03-20 17:19:02.008706] Iter=50 - Full Eval - n=100; mean=219.450000; std=138.008737; min=35.000000; max=720.000000
[2017-03-20 17:19:58.393035] Iter=51 - Light Eval - n=20; mean=179.000000; std=104.762890; min=20.000000; max=380.000000
[2017-03-20 17:20:56.281863] Iter=52 - Light Eval - n=20; mean=270.750000; std=113.720282; min=110.000000; max=500.000000
[2017-03-20 17:21:52.358333] Iter=53 - Light Eval - n=20; mean=183.000000; std=78.545997; min=60.000000; max=365.000000
[2017-03-20 17:22:49.663196] Iter=54 - Light Eval - n=20; mean=267.250000; std=167.115427; min=140.000000; max=825.000000
[2017-03-20 17:23:46.300458] Iter=55 - Light Eval - n=20; mean=218.250000; std=163.218251; min=35.000000; max=650.000000
[2017-03-20 17:24:44.806886] Iter=56 - Light Eval - n=20; mean=329.750000; std=120.519435; min=155.000000; max=545.000000
[2017-03-20 17:25:43.949912] Iter=57 - Light Eval - n=20; mean=301.500000; std=165.816163; min=80.000000; max=730.000000
[2017-03-20 17:26:46.047250] Iter=58 - Light Eval - n=20; mean=366.250000; std=196.360805; min=170.000000; max=975.000000
[2017-03-20 17:27:42.114371] Iter=59 - Light Eval - n=20; mean=246.000000; std=95.718887; min=105.000000; max=460.000000
[2017-03-20 17:28:40.544355] Iter=60 - Light Eval - n=20; mean=248.500000; std=153.400920; min=45.000000; max=580.000000
[2017-03-20 17:29:35.028642] Iter=60 - Full Eval - n=100; mean=209.600000; std=118.868147; min=15.000000; max=580.000000
[2017-03-20 17:30:33.408136] Iter=61 - Light Eval - n=20; mean=275.750000; std=148.645419; min=125.000000; max=740.000000
[2017-03-20 17:31:29.840575] Iter=62 - Light Eval - n=20; mean=182.250000; std=104.949549; min=45.000000; max=475.000000
[2017-03-20 17:32:28.311913] Iter=63 - Light Eval - n=20; mean=250.750000; std=87.242478; min=165.000000; max=455.000000
[2017-03-20 17:33:25.300920] Iter=64 - Light Eval - n=20; mean=216.000000; std=125.515778; min=55.000000; max=510.000000
[2017-03-20 17:34:22.719546] Iter=65 - Light Eval - n=20; mean=183.750000; std=121.024954; min=60.000000; max=600.000000
[2017-03-20 17:35:20.810348] Iter=66 - Light Eval - n=20; mean=209.000000; std=113.248678; min=20.000000; max=505.000000
[2017-03-20 17:36:20.204352] Iter=67 - Light Eval - n=20; mean=302.500000; std=154.617525; min=60.000000; max=675.000000
[2017-03-20 17:37:21.057069] Iter=68 - Light Eval - n=20; mean=283.250000; std=139.842722; min=85.000000; max=555.000000
[2017-03-20 17:38:18.022982] Iter=69 - Light Eval - n=20; mean=216.750000; std=130.356545; min=65.000000; max=620.000000
[2017-03-20 17:39:18.417470] Iter=70 - Light Eval - n=20; mean=223.000000; std=155.050077; min=60.000000; max=695.000000
[2017-03-20 17:40:27.323631] Iter=70 - Full Eval - n=100; mean=238.550000; std=128.266009; min=55.000000; max=695.000000
[2017-03-20 17:41:24.469542] Iter=71 - Light Eval - n=20; mean=191.750000; std=105.334992; min=40.000000; max=465.000000
[2017-03-20 17:42:20.279232] Iter=72 - Light Eval - n=20; mean=212.500000; std=116.771256; min=85.000000; max=545.000000
[2017-03-20 17:43:14.374059] Iter=73 - Light Eval - n=20; mean=154.000000; std=92.858126; min=45.000000; max=420.000000
[2017-03-20 17:44:11.264523] Iter=74 - Light Eval - n=20; mean=237.500000; std=139.146836; min=60.000000; max=515.000000
[2017-03-20 17:45:05.916794] Iter=75 - Light Eval - n=20; mean=149.750000; std=73.618415; min=50.000000; max=285.000000
[2017-03-20 17:46:03.036874] Iter=76 - Light Eval - n=20; mean=167.750000; std=117.758394; min=20.000000; max=410.000000
[2017-03-20 17:47:04.319751] Iter=77 - Light Eval - n=20; mean=237.500000; std=149.089341; min=25.000000; max=570.000000
[2017-03-20 17:48:02.109824] Iter=78 - Light Eval - n=20; mean=295.750000; std=186.295429; min=35.000000; max=825.000000
[2017-03-20 17:48:59.471865] Iter=79 - Light Eval - n=20; mean=176.250000; std=103.591747; min=15.000000; max=355.000000
[2017-03-20 17:49:54.440920] Iter=80 - Light Eval - n=20; mean=229.250000; std=139.191982; min=5.000000; max=565.000000
[2017-03-20 17:50:51.695440] Iter=80 - Full Eval - n=100; mean=257.500000; std=125.556338; min=5.000000; max=590.000000
[2017-03-20 17:51:48.248703] Iter=81 - Light Eval - n=20; mean=266.500000; std=122.206684; min=15.000000; max=540.000000
[2017-03-20 17:52:45.520899] Iter=82 - Light Eval - n=20; mean=204.250000; std=105.034769; min=60.000000; max=440.000000
[2017-03-20 17:53:43.774621] Iter=83 - Light Eval - n=20; mean=314.750000; std=140.838420; min=65.000000; max=570.000000
[2017-03-20 17:54:40.128729] Iter=84 - Light Eval - n=20; mean=199.750000; std=148.540930; min=20.000000; max=705.000000
[2017-03-20 17:55:34.884732] Iter=85 - Light Eval - n=20; mean=125.000000; std=67.101651; min=15.000000; max=245.000000
[2017-03-20 17:56:29.909635] Iter=86 - Light Eval - n=20; mean=134.500000; std=121.762279; min=10.000000; max=485.000000
[2017-03-20 17:57:26.994407] Iter=87 - Light Eval - n=20; mean=244.500000; std=106.201150; min=95.000000; max=490.000000
